,Species,Continent_of_Origin,Country_of_Origin,Harvest_Year,Expiration,Variety,Color,Processing_Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean_Cup,Sweetness,Moisture,Quakers,Category_One_Defects,Category_Two_Defects
1,Arabica,Africa,Ethiopia,2014-01-01,2016-04-03,Other,Green,Washed / Wet,8.75,8.67,8.5,8.58,8.42,8.42,10.0,10.0,10.0,0.12,0,0,1
4,Arabica,Africa,Ethiopia,2014-01-01,2016-04-03,Other,Green,Washed / Wet,8.25,8.5,8.25,8.5,8.42,8.33,10.0,10.0,10.0,0.12,0,0,2
6,Arabica,South America,Peru,2012-01-01,2013-09-17,Other,Bluish-Green,Washed / Wet,8.42,8.5,8.33,8.5,8.25,8.25,10.0,10.0,10.0,0.11,0,0,0
9,Arabica,Africa,Ethiopia,2014-01-01,2016-03-29,Other,Green,Natural / Dry,8.08,8.58,8.5,8.5,7.67,8.42,10.0,10.0,10.0,0.1,0,0,4
18,Arabica,Asia,China,2015-01-01,2017-04-07,Catimor,Green,Washed / Wet,8.42,8.25,8.08,8.17,7.92,8.0,10.0,10.0,10.0,0.1,0,0,0
21,Arabica,North America,Costa Rica,2014-01-01,2015-04-02,Caturra,Green,Washed / Wet,8.08,8.25,8.0,8.17,8.0,8.33,10.0,10.0,10.0,0.11,0,0,2
22,Arabica,North America,Mexico,2012-01-01,2013-07-26,Other,Green,Washed / Wet,8.17,8.25,8.17,8.0,7.83,8.17,10.0,10.0,10.0,0.13,0,0,0
25,Arabica,South America,Brazil,2011-01-01,2012-12-02,Bourbon,Green,Natural / Dry,8.5,8.5,8.0,8.0,8.0,8.0,10.0,10.0,10.0,0.12,0,0,2
27,Arabica,Africa,Uganda,2013-01-01,2015-06-26,SL14,Green,Washed / Wet,8.42,8.17,8.17,8.17,7.83,7.92,10.0,10.0,10.0,0.12,0,0,1
29,Arabica,Asia,Taiwan,2015-01-01,2017-05-18,Sumatra,Green,Pulped natural / honey,8.0,8.0,8.0,8.25,8.0,8.17,10.0,10.0,10.0,0.0,0,0,0
32,Arabica,South America,Brazil,2011-01-01,2012-12-02,Bourbon,Green,Natural / Dry,8.5,8.17,8.0,7.75,8.0,8.0,10.0,10.0,10.0,0.12,0,0,2
33,Arabica,North America,Costa Rica,2015-01-01,2016-12-02,Caturra,Blue-Green,Washed / Wet,8.17,7.83,8.0,8.08,7.83,8.0,10.0,10.0,10.0,0.0,0,0,0
35,Arabica,Africa,Kenya,2013-01-01,2015-05-30,SL34,Blue-Green,Washed / Wet,8.08,8.0,8.0,8.25,7.92,7.92,10.0,10.0,10.0,0.12,0,0,1
40,Arabica,Asia,Thailand,2012-01-01,2013-04-12,Caturra,Green,Washed / Wet,7.83,8.33,7.83,8.25,7.58,7.92,10.0,10.0,10.0,0.1,0,1,9
43,Arabica,Asia,Taiwan,2015-01-01,2016-06-09,Bourbon,Green,Semi-washed / Semi-pulped,8.08,8.17,7.75,8.08,7.75,7.83,10.0,10.0,10.0,0.12,0,0,0
